,,,,,,
"Measure category",Measure_Type,Pre_Main_Heating_Source,"Total Floor Area Band ","Starting Band","Average Treatable Factor","Cost Savings"
"Cavity Wall Insulation",CWI_0.033,N/A,98-199,Low_C,0.95,151.8
"Cavity Wall Insulation",CWI_0.033,N/A,98-199,High_D,0.95,158.9
"Cavity Wall Insulation",CWI_0.033,N/A,98-199,Low_D,0.95,167.9
"Cavity Wall Insulation",CWI_0.033,N/A,98-199,High_E,0.95,182.2
"Cavity Wall Insulation",CWI_0.033,N/A,98-199,Low_E,0.95,198.8
"Cavity Wall Insulation",CWI_0.033,N/A,98-199,High_F,0.95,222.8
"Cavity Wall Insulation",CWI_0.033,N/A,98-199,Low_F,0.95,249.6
"Cavity Wall Insulation",CWI_0.033,N/A,98-199,High_G,0.95,286.3
"Cavity Wall Insulation",CWI_0.033,N/A,98-199,Low_G,0.95,326.2
"Cavity Wall Insulation",CWI_0.027,N/A,98-199,High_B,0.95,155.7
"Cavity Wall Insulation",CWI_0.027,N/A,98-199,Low_B,0.95,155.9
"Cavity Wall Insulation",CWI_0.027,N/A,98-199,High_C,0.95,158.1
"Cavity Wall Insulation",CWI_0.027,N/A,98-199,Low_C,0.95,161.9
"Cavity Wall Insulation",CWI_0.027,N/A,98-199,High_D,0.95,169.4
"Cavity Wall Insulation",CWI_0.027,N/A,98-199,Low_D,0.95,178.9
"Cavity Wall Insulation",CWI_0.027,N/A,98-199,High_E,0.95,194.1
"Cavity Wall Insulation",CWI_0.027,N/A,98-199,Low_E,0.95,211.7
"Cavity Wall Insulation",CWI_0.027,N/A,98-199,High_F,0.95,237.2
"Cavity Wall Insulation",CWI_0.027,N/A,98-199,Low_F,0.95,265.7
"Cavity Wall Insulation",CWI_0.027,N/A,98-199,High_G,0.95,304.6
"Cavity Wall Insulation",CWI_0.027,N/A,98-199,Low_G,0.95,347.1
"Cavity Wall Insulation",PWI_Cavity,N/A,98-199,High_B,0.95,19.3
"Cavity Wall Insulation",PWI_Cavity,N/A,98-199,Low_B,0.95,19.1
"Cavity Wall Insulation",PWI_Cavity,N/A,98-199,High_C,0.95,19.2
